,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
0,65.0,263.0,62.0,0.009999999999999787,71.27962361999994,65.0,1154.0,19.1,83.0,6.0,8.16,65.0,0.10000000000000009,584.2592100000002,33736494.0,17.2,17.3,0.479,10.1
1,59.9,271.0,64.0,0.009999999999999787,73.52358168,62.0,492.0,18.6,86.0,58.0,8.18,62.0,0.10000000000000009,612.6965140000002,327582.0,17.5,17.5,0.47600000000000003,10.0
2,59.9,268.0,66.0,0.009999999999999787,73.21924272000001,64.0,430.0,18.1,89.0,62.0,8.13,64.0,0.10000000000000009,631.744976,31731688.0,17.7,17.7,0.47,9.9
3,59.5,272.0,69.0,0.009999999999999787,78.1842153,67.0,2787.0,17.599999999999998,93.0,67.0,8.52,67.0,0.10000000000000009,669.9589999999998,3696958.0,17.9,18.0,0.46299999999999997,9.8
4,59.2,275.0,71.0,0.009999999999999787,7.0971087030000035,68.0,3013.0,17.200000000000003,97.0,68.0,7.87,68.0,0.10000000000000009,63.53723100000116,2978599.0,18.2,18.2,0.45399999999999996,9.5
5,58.8,279.0,74.0,0.009999999999999787,79.67936736000001,66.0,1989.0,16.7,102.0,66.0,9.2,66.0,0.10000000000000009,553.3289400000003,2883167.0,18.4,18.399999999999995,0.44799999999999995,9.2
6,58.6,281.0,77.0,0.009999999999999787,56.76221682000005,63.0,2861.0,16.2,106.0,63.0,9.42,63.0,0.10000000000000009,445.8932979000001,284331.0,18.6,18.7,0.434,8.9
7,58.1,287.0,80.0,0.03000000000000025,25.873925360000044,64.0,1599.0,15.7,110.0,64.0,8.33,64.0,0.10000000000000009,373.3611162999996,2729431.0,18.8,18.9,0.433,8.7
8,57.5,295.0,82.0,0.019999999999999574,10.910155980000013,63.0,1141.0,15.2,113.0,63.0,6.73,63.0,0.10000000000000009,369.8357960000003,26616792.0,19.0,19.099999999999998,0.4149999999999999,8.4
9,57.3,295.0,84.0,0.03000000000000025,17.171517510000058,64.0,1990.0,14.699999999999996,116.0,58.0,7.43,58.0,0.10000000000000009,272.56376999999884,2589345.0,19.2,19.3,0.405,8.1
